Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.short [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.kind [single_line_text_field],Metafield: custom.accent_color [single_line_text_field]
fairtex-leg-protection-tp3-thigh-pads-black,Fairtex leg-protection TP3 Thigh-Pads black,"<p>Fairtex leg-protection TP3 Thigh-Pads black</p> <ul> <li>Ontworpen om de snelheid, timing en nauwkeurigheid van traptechnieken te verbeteren.</li> <li>Voorzien van tailleband met clips en veter voor een strakke pasvorm en extra ondersteuning.</li> <li>Inclusief vier witte doelpunten voor precisietraining.</li> <li>Lichtgewicht en duurzaam.</li> <li>Geschikt voor intensief gebruik.</li> </ul>",Fairtex,trap/stoot kussens,"Fairtex, trap/stoot kussens",TRUE,,Default Title,,shopify,10,deny,manual,219.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/11/Fairtex-leg-protection-TP3-Thigh-Pads-black.jpg,1,Fairtex leg-protection TP3 Thigh-Pads black,active,Fairtex leg-protection TP3 Thigh-Pads black,,bag,#1A2A1A
fairtex-leg-protection-tp3-thigh-pads-black,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/11/Fairtex-leg-protection-TP3-Thigh-Pads-black-1.jpg,2,Fairtex leg-protection TP3 Thigh-Pads black,,,,,
fairtex-leg-protection-tp3-thigh-pads-black,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/11/Fairtex-leg-protection-TP3-Thigh-Pads-black-2.jpg,3,Fairtex leg-protection TP3 Thigh-Pads black,,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,KING Kickboks scheenbeschermers KPB-SG-Shogun,<p>KING Kickboks scheenbeschermers KPB-SG-Shogun</p> <p>Voor de beginnende en de gevorderde kickbokser</p>,King,Scheenbeschermers,"Bescherming, King, Scheenbeschermers",TRUE,Maat,XS,,shopify,10,deny,manual,79.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/10/king-scheenbeschermers-KPB-SG-Shogun.jpg,1,KING Kickboks scheenbeschermers KPB-SG-Shogun,active,,,shield,#11243A
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,Maat,S,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,Maat,M,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,Maat,L,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,Maat,XL,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,Maat,XXL,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-kickboks-scheenbeschermers-kpb-sg-shogun,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-scheenbeschermers-KPB-SG-Shogun-2.jpg,2,KING Kickboks scheenbeschermers KPB-SG-Shogun,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,"<p>Top handschoenen van King-Pro, super kwaliteit!</p> <p>King PRO-BOXING kickbokshandschoenen KPB/BG SHOGUN zwart/goud</p>",King,Kickbokshandschoenen leer,"Handschoenen, Kickbokshandschoenen leer, King",TRUE,Maat,14 oz,,shopify,10,deny,manual,79.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun.jpg,1,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,active,Professionele handschoenen. Handgemaakt in Thailand,,glove,#11243A
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,Maat,16 oz,,shopify,10,deny,manual,79.95,,TRUE,TRUE,,,,active,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun-1.jpg,2,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun-2.jpg,3,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun-3.jpg,4,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun-4.jpg,5,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-shogun-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/10/king-bokshandschoen-KPB-BG-Shogun-6.jpg,6,King PRO-BOXING kickbokshandschoenen  KPB/BG SHOGUN zwart/goud,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-star-12-zwart-zwart,King PRO-BOXING kickbokshandschoenen  KPB/BG STAR 12 zwart/zwart,"<p>Top handschoenen van King-Pro, super kwaliteit!</p> <p>King PRO-BOXING kickbokshandschoenen KPB/BG STAR 12 zwart/zwart</p>",King,Kickbokshandschoenen leer,"Handschoenen, Kickbokshandschoenen leer, King",TRUE,Maat,14 oz,,shopify,10,deny,manual,159.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/07/King-PRO-BOXING-kickbokshandschoenen-KPB-BG-STAR-12.jpg,1,King PRO-BOXING kickbokshandschoenen  KPB/BG STAR 12 zwart/zwart,active,Professionele handschoenen. Handgemaakt in Thailand,,glove,#11243A
king-pro-boxing-kickbokshandschoenen-kpb-bg-star-12-zwart-zwart,,,,,,,Maat,16 oz,,shopify,10,deny,manual,159.95,,TRUE,TRUE,,,,active,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-star-12-zwart-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/07/King-PRO-BOXING-kickbokshandschoenen-KPB-BG-STAR-12-1.jpg,2,King PRO-BOXING kickbokshandschoenen  KPB/BG STAR 12 zwart/zwart,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-star-12-zwart-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/07/King-PRO-BOXING-kickbokshandschoenen-KPB-BG-STAR-12-2.jpg,3,King PRO-BOXING kickbokshandschoenen  KPB/BG STAR 12 zwart/zwart,,,,,
king-pro-boxing-kickbokshandschoenen-kpb-bg-star-12-zwart-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/07/King-PRO-BOXING-kickbokshandschoenen-KPB-BG-STAR-12-3.jpg,4,King PRO-BOXING kickbokshandschoenen  KPB/BG STAR 12 zwart/zwart,,,,,
safejawz-marvel-mouthguard-bitje,SafeJawz marvel mouthguard bitje,"<p>De nieuwe Marvel-collectie van Safejawz met stoere superhelden gebitsbeschermers, Iron Man, Captain America, Black Panther, Spider Man, Venom.</p>",FightPro,Gebitsbeschermer,"Bescherming, Gebitsbeschermer",TRUE,,Default Title,,shopify,10,deny,manual,19.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje.jpg,1,FightPro SafeJawz marvel mouthguard bitje,active,SafeJawz-marvel-mouthguards-bitje,,shield,#1A1200
safejawz-marvel-mouthguard-bitje,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje-black-panther.jpg,2,FightPro SafeJawz marvel mouthguard bitje,,,,,
safejawz-marvel-mouthguard-bitje,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje-captain-america.jpg,3,FightPro SafeJawz marvel mouthguard bitje,,,,,
safejawz-marvel-mouthguard-bitje,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje-ironman.jpg,4,FightPro SafeJawz marvel mouthguard bitje,,,,,
safejawz-marvel-mouthguard-bitje,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje-spiderman.jpg,5,FightPro SafeJawz marvel mouthguard bitje,,,,,
safejawz-marvel-mouthguard-bitje,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/SafeJawz-marvel-mouthguards-bitje-venom.jpg,6,FightPro SafeJawz marvel mouthguard bitje,,,,,
bitje-mouthguard-wacoku-a-white-blue-adult,Bitje mouthguard WACOKU A+ White / Blue Adult,<p>Bitje mouthguard WACOKU A+ White / Blue Adult</p>,FightPro,Gebitsbeschermer,"Bescherming, Gebitsbeschermer",TRUE,,Default Title,,shopify,10,deny,manual,14.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Wacoku-Mouthguard-A-gel-gum-shield-view.webp,1,FightPro Bitje mouthguard WACOKU A+ White / Blue Adult,active,WACOKU is al jaren bekend als een van de beste bitjes in de wereld.,,shield,#1A1200
bitje-mouthguard-wacoku-a-white-blue-adult,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/wacoku-mouthguard-bitje.jpg,2,FightPro Bitje mouthguard WACOKU A+ White / Blue Adult,,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART,<p>JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART</p>,Joya,Scheenbeschermers,"Bescherming, Joya, Scheenbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,69.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/JOYA-FF-METAL-PRO-SCHEENBESCHERMERS-VOLLEDIG-ZWART.jpg,1,JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART,active,Joya Scheenbeschermer voor de jeugd en volwassen.,,shield,#1C1C1C
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,Maat,M,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,Maat,S,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,Maat,XL,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,Maat,XS,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,Maat,XXS,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.14_1__1.jpeg,2,JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART,,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.14_1.jpeg,3,JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART,,,,,
joya-ff-metal-pro-scheenbeschermers-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.13_1__1.jpeg,4,JOYA FF METAL PRO SCHEENBESCHERMERS – VOLLEDIG ZWART,,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART,<p>JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART</p>,Joya,Scheenbeschermers,"Bescherming, Joya, Kids fight, Scheenbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/JOYA-FF-METAL-PRO-SCHEENBESCHERMERS-VOLLEDIG-ZWART.jpg,1,JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART,active,Joya Scheenbeschermer voor de jeugd en volwassen.,,shield,#1C1C1C
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,Maat,M,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,Maat,S,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,Maat,XL,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,Maat,XS,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,Maat,XXS,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.14_1__1.jpeg,2,JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART,,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.14_1.jpeg,3,JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART,,,,,
joya-ff-metal-pro-scheenbeschermers-junior-volledig-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/whatsapp_image_2023-01-07_at_16.28.13_1__1.jpeg,4,JOYA FF METAL PRO SCHEENBESCHERMERS JUNIOR – VOLLEDIG ZWART,,,,,
joya-fight-fast-hoofdbeschermer-zwart-grijs,JOYA FIGHT FAST HOOFDBESCHERMER – ZWART/GRIJS,"<div class=""product-name""> <h1>JOYA FIGHT FAST HOOFDBESCHERMER – ZWART/GRIJS Leer</h1> </div>",Joya,Hoofdbeschermers,"Bescherming, Hoofdbeschermers, Joya",TRUE,Maat,L,,shopify,10,deny,manual,69.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/helm-joya-leer-1.jpg,1,JOYA FIGHT FAST HOOFDBESCHERMER – ZWART/GRIJS,active,hoofdbeschermer / helm voor boksen en kickboksen,,shield,#1C1C1C
joya-fight-fast-hoofdbeschermer-zwart-grijs,,,,,,,Maat,M,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-fight-fast-hoofdbeschermer-zwart-grijs,,,,,,,Maat,S,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-fight-fast-hoofdbeschermer-zwart-grijs,,,,,,,Maat,XL,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-fight-fast-hoofdbeschermer-zwart-grijs,,,,,,,Maat,XS,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-fight-fast-hoofdbeschermer-zwart-grijs,,,,,,,Maat,XXS,,shopify,10,deny,manual,69.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART,<p>JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART</p>,Joya,Kickbokshandschoenen Kunststof,"Handschoenen, Joya, Kickbokshandschoenen Kunststof",TRUE,Maat,10 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart.jpg,1,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART,active,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART,,glove,#1C1C1C
joya-essential-kickboks-bokshandschoenen-zwart,,,,,,,Maat,12 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart,,,,,,,Maat,14 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart,,,,,,,Maat,16 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart-2.jpg,2,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART,,,,,
joya-essential-kickboks-bokshandschoenen-zwart-roze,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART ROZE,<p>JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART ROZE</p>,Joya,Kickbokshandschoenen Kunststof,"Handschoenen, Joya, Kickbokshandschoenen Kunststof",TRUE,Maat,10 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart-Roze-2.jpg,1,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART ROZE,active,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART ROZE,,glove,#1C1C1C
joya-essential-kickboks-bokshandschoenen-zwart-roze,,,,,,,Maat,12 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-roze,,,,,,,Maat,14 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-roze,,,,,,,Maat,16 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-roze,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart-Roze.jpg,2,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART ROZE,,,,,
joya-essential-kickboks-bokshandschoenen-zwart-goud,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART GOUD,<p>JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART GOUD</p>,Joya,Kickbokshandschoenen Kunststof,"Handschoenen, Joya, Kickbokshandschoenen Kunststof",TRUE,Maat,10 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart-GOUD.jpg,1,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART GOUD,active,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART GOUD,,glove,#1C1C1C
joya-essential-kickboks-bokshandschoenen-zwart-goud,,,,,,,Maat,12 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-goud,,,,,,,Maat,14 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-goud,,,,,,,Maat,16 oz,,shopify,10,deny,manual,54.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-bokshandschoenen-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-Bokshandschoenen-Essential-Zwart-GOUD-2.jpg,2,JOYA ESSENTIAL KICKBOKS BOKSHANDSCHOENEN – ZWART GOUD,,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART GOUD,<p>Joya-scheenbeschermers-Essential-Zwart goud</p>,Joya,Scheenbeschermers,"Bescherming, Joya, Kids fight, Scheenbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,49.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart-goud.jpg,1,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART GOUD,active,Joya Scheenbeschermer voor de jeugd en volwassen.,,shield,#1C1C1C
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,Maat,M,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,Maat,S,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,Maat,XL,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,Maat,XS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,Maat,XXS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-goud,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart-goud-2.jpg,2,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART GOUD,,,,,
joya-essential-kickboks-scheenbeschermer-zwart,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART,<p>Joya-scheenbeschermers-Essential-Zwart</p>,Joya,Scheenbeschermers,"Bescherming, Joya, Kids fight, Scheenbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,49.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart.jpg,1,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART,active,Joya Scheenbeschermer voor de jeugd en volwassen.,,shield,#1C1C1C
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,Maat,M,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,Maat,S,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,Maat,XL,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,Maat,XS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,Maat,XXS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart-2.jpg,2,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART,,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART-ROZE,<p>Joya-scheenbeschermers-Essential-Zwart-roze</p>,Joya,Scheenbeschermers,"Bescherming, Joya, Kids fight, Scheenbeschermers",TRUE,Maat,L,,shopify,10,deny,manual,49.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart-roze.jpg,1,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART-ROZE,active,Joya Scheenbeschermer voor de jeugd en volwassen.,,shield,#1C1C1C
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,Maat,M,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,Maat,S,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,Maat,XL,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,Maat,XS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,Maat,XXS,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
joya-essential-kickboks-scheenbeschermer-zwart-roze,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2024/06/Joya-scheenbeschermers-Essential-Zwart-roze-2.jpg,2,JOYA ESSENTIAL KICKBOKS SCHEENBESCHERMER- ZWART-ROZE,,,,,
fairtex-syntek-banana-bag-zandzak-hb6-gevuld,Fairtex Syntek™ &#8221; Banana Bag&#8221; zandzak  HB6 (gevuld),<p>De Fairtex Syntek™ &#8221; Banana Bag&#8221; bokszak HB6 is een professionele bokszak en handgemaakt in Thailand. In meerdere kleuren verkrijgbaar.<br /> De bokszak wordt <strong>GEVULD</strong> geleverd.</p>,Fairtex,Bokszakken,"Bokszakken, Fairtex",TRUE,,Default Title,,shopify,10,deny,manual,275.00,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2022/01/Fairtex-Syntek-Banana-Bag-bokszak-HB6.jpg,1,Fairtex Syntek™ &#8221; Banana Bag&#8221; zandzak  HB6 (gevuld),active,"Fairtex Syntek™ &#8221; Banana Bag&#8221; zandzak HB6. (niet voorradig, wel te bestellen)",,bag,#1A2A1A
fairtex-muay-thai-short-superstition-wit,Fairtex Muay Thai Short Superstition wit,<p>Fairtex Muay Thai Short Superstition wit</p>,Fairtex,Broekjes,"Broekjes, Fairtex, Kleding",TRUE,Maat,M,,shopify,10,deny,manual,64.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2024/04/Fairtex-Muay-Thai-Short-Superstition.jpg,1,Fairtex Muay Thai Short Superstition wit,active,,,apparel,#1A2A1A
fairtex-muay-thai-short-superstition-wit,,,,,,,Maat,L,,shopify,10,deny,manual,64.95,,TRUE,TRUE,,,,active,,,,
fairtex-muay-thai-short-superstition-wit,,,,,,,Maat,XL,,shopify,10,deny,manual,64.95,,TRUE,TRUE,,,,active,,,,
fairtex-muay-thai-short-superstition-wit,,,,,,,Maat,XXL,,shopify,10,deny,manual,64.95,,TRUE,TRUE,,,,active,,,,
